check,logic,IN,TD,,T,#N/A,BROKER,Ticker,EXPECTED_REPORT_DT,NAME,CLASSIFICATION_DESCRIPTION,BICS_LEVEL_3_INDUSTRY_NAME,VOLUME_AVG_6M,LAST_PRICE,HIGH,거래금액,VOLUME,volume-multiple,RT_PX_CHG_PCT_1D,CHG_PCT_5D,H,VOLATILITY_30D,PX_YEST_HIGH,PX_YEST_LOW,Qty,평가금액,CRNCY,Side,FX,TT,LOCAL1,LOCAL2,cost,RETURN,BROKER,Instruction_1,Account,Instruction,Account_1,,
,,,#N/A,,130400 ,3.2%,IN,090430 KS Equity,2023-10-31,AMOREPACIFIC CORP,Cosmetics,Household Products,"314,445 ",126400.00 ,"135,500.00 ",416 ,"83,356 ",0.3 ,-1.12 ,0.76 ,-2.44 ,3.5 ,"134,700.00 ","130,500.00 ","1,500 ","189,600,000 ",KRW,SELL,1.0 ,#N/A,#N/A,#N/A,131400,-3.8%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,,32300,,31400 ,0.8%,IN,058610 KS Equity,2023-11-10,SPG CO LTD,Electrical Components,Electrical Equipment,"2,264,904 ",31150.00 ,"37,750.00 ",843 ,"2,264,704 ",1.0 ,0.54 ,22.85 ,-1.46 ,4.5 ,"40,600.00 ","32,800.00 ","6,000 ","186,900,000 ",KRW,SELL,1.0 ,32300,39200,32300,32350,-3.7%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,,#N/A,#N/A,70400 ,-11.3%,IN,360070 KS Equity,2024-02-13,TOP MATERIAL CO LTD,Electronics Batteries,Technology Hardware,"253,050 ",79400.00 ,#N/A,189 ,"48,240 ",0.2 ,-0.13 ,-6.52 ,-2.74 ,4.9 ,"76,000.00 ","72,600.00 ","2,800 ","222,320,000 ",KRW,SELL,1.0 ,#N/A,#N/A,#N/A,73700,7.7%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,1 ,58200,59900,58200 ,-1.7%,IN,042700 KS Equity,2023-10-20,HANMI SEMICONDUCTOR CO LTD,Back End Capital Equipment,Semiconductors,"4,760,690 ",59200.00 ,-1 ,"2,818 ","1,669,185 ",0.4 ,1.72 ,6.51 ,-1.99 ,5.1 ,"60,300.00 ","57,600.00 ","4,000 ","236,800,000 ",KRW,SELL,1.0 ,58200,59900,58200,57700,2.6%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,,#N/A,#N/A,143500 ,0.0%,IN,121600 KS Equity,2023-11-14,ADVANCED NANO PRODUCTS CO LT,Nanotechnology,Chemicals,"453,238 ",143500.00 ,#N/A,698 ,"89,060 ",0.2 ,0.65 ,-2.10 ,-0.32 ,4.4 ,"154,900.00 ","146,000.00 ","1,500 ","215,250,000 ",KRW,SELL,1.0 ,#N/A,#N/A,#N/A,149200,-3.8%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,,#N/A,1259000,1199000 ,-4.5%,IN,086520 KS Equity,2023-10-18,ECOPRO CO LTD,Inorganic Base Chemicals,Chemicals,"1,356,462 ",1255000.00 ,1 ,"14,718 ","542,988 ",0.4 ,-2.34 ,-11.14 ,-2.95 ,7.1 ,"1,179,000.00 ","1,101,000.00 ",150 ,"188,250,000 ",KRW,SELL,1.0 ,#N/A,#N/A,#N/A,1260000,-0.4%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,,53600,55300,51800 ,1.0%,IN,002710 KS Equity,2023-11-14,TCC STEEL,Electroplating,Industrial Intermediate Prod,"1,224,858 ",51300.00 ,-1 ,697 ,"255,542 ",0.2 ,1.25 ,10.89 ,-1.90 ,6.0 ,"58,000.00 ","53,700.00 ","4,000 ","205,200,000 ",KRW,SELL,1.0 ,53600,53600,55300,54300,-5.5%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,,8490,8570,8490 ,4.6%,IN,257720 KS Equity,2023-11-08,SILICON2 CO LTD,Online Marketplace,E-Commerce Discretionary,"5,672,444 ",8120.00 ,-1 ,504 ,"3,119,967 ",0.6 ,4.71 ,11.81 ,-0.56 ,4.6 ,"8,730.00 ","8,240.00 ","25,000 ","203,000,000 ",KRW,SELL,1.0 ,8490,8490,8570,8500,-4.5%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,,#N/A,#N/A,119400 ,2.0%,IN,000660 KS Equity,2023-10-26,SK HYNIX INC,DRAM,Semiconductors,"3,744,356 ",117100.00 ,#N/A,"4,501 ","1,224,082 ",0.3 ,0.84 ,1.18 ,-0.66 ,2.7 ,"119,700.00 ","116,200.00 ","1,700 ","199,070,000 ",KRW,SELL,1.0 ,#N/A,#N/A,#N/A,122900,-4.7%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,,#N/A,#N/A,#N/A,#N/A,IN,003670 KS Equity,2023-10-24,POSCO FUTURE M CO LTD,Advanced Materials,Chemicals,"1,217,803 ",467000.00 ,#N/A,"5,547 ","416,525 ",0.3 ,3.29 ,0.44 ,-0.33 ,4.8 ,"444,500.00 ","422,500.00 ",500 ,"233,500,000 ",KRW,SELL,1.0 ,#N/A,#N/A,#N/A,456000,2.4%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,,#N/A,#N/A,245500 ,-1.2%,IN,352820 KS Equity,2023-11-03,HYBE CO LTD,Music,Entertainment Content,"293,180 ",248500.00 ,#N/A,737 ,"56,507 ",0.2 ,0.40 ,0.00 ,-0.40 ,2.8 ,"255,000.00 ","245,000.00 ",900 ,"223,650,000 ",KRW,SELL,1.0 ,#N/A,#N/A,#N/A,236000,5.3%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,,29300,31300,25750 ,-18.6%,IN,009520 KS Equity,2023-10-24,POSCO M-TECH CO LTD,Containers & Packaging,Containers & Packaging,"6,199,475 ",31650.00 ,1 ,"2,108 ","7,637,984 ",1.2 ,8.97 ,7.75 ,-5.29 ,6.1 ,"31,500.00 ","28,550.00 ","7,000 ","221,550,000 ",KRW,SELL,1.0 ,29300,29300,31300,31000,2.1%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,,#N/A,#N/A,17750 ,1.9%,IN,034020 KS Equity,2023-11-01,DOOSAN ENERBILITY CO LTD,Construction Machinery,Machinery,"6,264,485 ",17420.00 ,#N/A,"1,064 ","2,691,000 ",0.4 ,-1.16 ,-2.19 ,-1.45 ,2.2 ,"17,710.00 ","17,170.00 ","12,000 ","209,040,000 ",KRW,SELL,1.0 ,#N/A,#N/A,#N/A,17130,1.7%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,,#N/A,#N/A,199200 ,-13.2%,IN,066970 KS Equity,2023-11-09,L&F CO LTD,Energy Storage Systems,Renewable Energy,"1,172,420 ",229500.00 ,#N/A,"2,474 ","193,103 ",0.2 ,-0.47 ,-10.78 ,-1.40 ,4.6 ,"213,000.00 ","205,500.00 ",900 ,"206,550,000 ",KRW,SELL,1.0 ,#N/A,#N/A,#N/A,229500,0.0%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,,#N/A,#N/A,7120 ,-9.0%,IN,074610 KS Equity,2023-11-14,ENPLUS CO LTD,Commercial Vehicles Mfg,Transportation Equipment,"6,854,328 ",7820.00 ,#N/A,513 ,"1,258,488 ",0.2 ,-4.10 ,3.76 ,-5.32 ,5.6 ,"8,150.00 ","7,500.00 ","27,000 ","211,140,000 ",KRW,SELL,1.0 ,#N/A,#N/A,#N/A,7410,5.5%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,,32300,39200,29950 ,-1.0%,IN,058610 KS Equity,2023-11-10,SPG CO LTD,Electrical Components,Electrical Equipment,"2,264,904 ",30250.00 ,1 ,843 ,"2,264,704 ",1.0 ,0.54 ,22.85 ,-1.46 ,4.5 ,"40,600.00 ","32,800.00 ","7,000 ","211,750,000 ",KRW,SELL,1.0 ,32300,39200,32300,29600,2.2%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,,167000,176900,173900 ,-0.4%,IN,328130 KS Equity,2023-11-13,LUNIT INC,Health Care Software,Software,"745,330 ",174600.00 ,-1 ,"1,666 ","1,815,545 ",2.4 ,25.70 ,31.86 ,-2.83 ,6.3 ,"181,500.00 ","169,100.00 ","1,300 ","226,980,000 ",KRW,SELL,1.0 ,167000,167000,176900,163300,6.9%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,,#N/A,#N/A,151400 ,-4.6%,IN,121600 KS Equity,2023-11-14,ADVANCED NANO PRODUCTS CO LT,Nanotechnology,Chemicals,"453,238 ",158700.00 ,#N/A,698 ,"89,060 ",0.2 ,0.65 ,-2.10 ,-0.32 ,4.4 ,"154,900.00 ","146,000.00 ","1,300 ","206,310,000 ",KRW,SELL,1.0 ,#N/A,#N/A,#N/A,155600,2.0%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,,#N/A,#N/A,22900 ,0.4%,IN,108860 KS Equity,2023-11-13,SELVAS AI INC,Application Software,Software,"3,347,218 ",22800.00 ,#N/A,780 ,"1,234,717 ",0.4 ,-1.27 ,-1.27 ,-2.51 ,6.6 ,"24,250.00 ","22,650.00 ","10,000 ","228,000,000 ",KRW,SELL,1.0 ,#N/A,#N/A,#N/A,22050,3.4%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,,#N/A,#N/A,134200 ,4.6%,IN,041510 KS Equity,2023-11-14,SM ENTERTAINMENT CO LTD,Music,Entertainment Content,"597,367 ",128300.00 ,#N/A,796 ,"84,453 ",0.1 ,-0.08 ,-5.66 ,-0.60 ,2.8 ,"135,800.00 ","127,500.00 ","1,500 ","192,450,000 ",KRW,SELL,1.0 ,#N/A,#N/A,#N/A,141300,-9.2%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,,#N/A,#N/A,176000 ,0.3%,IN,096770 KS Equity,2023-11-03,SK INNOVATION CO LTD,Integrated Oils,Oil & Gas Producers,"880,639 ",175400.00 ,#N/A,"1,575 ","156,723 ",0.2 ,-0.33 ,1.59 ,-0.39 ,3.8 ,"180,000.00 ","174,700.00 ","1,100 ","192,940,000 ",KRW,SELL,1.0 ,#N/A,#N/A,#N/A,178000,-1.5%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,1 ,70000,72300,70000 ,-5.1%,IN,137400 KS Equity,2023-11-14,PEOPLE & TECHNOLOGY INC,Ind Process Automation Mach,Machinery,"710,487 ",73800.00 ,1 ,524 ,"197,414 ",0.3 ,-0.54 ,7.88 ,-1.73 ,3.6 ,"75,200.00 ","69,800.00 ","3,000 ","221,400,000 ",KRW,SELL,1.0 ,70000,70000,72300,72500,1.8%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,1 ,53600,55300,53600 ,-5.8%,IN,002710 KS Equity,2023-11-14,TCC STEEL,Electroplating,Industrial Intermediate Prod,"1,224,858 ",56900.00 ,1 ,697 ,"255,542 ",0.2 ,1.25 ,10.89 ,-1.90 ,6.0 ,"58,000.00 ","53,700.00 ","3,600 ","204,840,000 ",KRW,SELL,1.0 ,53600,53600,55300,54600,4.2%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,1 ,64600,66900,64600 ,-0.8%,IN,091990 KS Equity,2023-11-13,CELLTRION HEALTHCARE CO LTD,Generic Pharma,Biotech & Pharma,"1,100,858 ",65100.00 ,1 ,717 ,"198,818 ",0.2 ,0.15 ,-2.70 ,-0.76 ,3.0 ,"65,500.00 ","64,200.00 ","3,000 ","195,300,000 ",KRW,SELL,1.0 ,64600,64600,66900,66400,-2.0%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,,#N/A,#N/A,116600 ,-29.3%,IN,277810 KS Equity,2023-11-14,RAINBOW ROBOTICS,Industrial Robot,Machinery,"1,189,998 ",165000.00 ,#N/A,"2,016 ","1,690,702 ",1.4 ,4.25 ,44.27 ,-1.45 ,7.8 ,"174,000.00 ","160,100.00 ","1,600 ","264,000,000 ",KRW,SELL,1.0 ,#N/A,#N/A,#N/A,123400,33.7%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,1 ,40150,43250,40150 ,-6.0%,IN,304100 KS Equity,2023-11-14,SALTLUX INC,Application Software,Software,"1,277,358 ",42700.00 ,1 ,545 ,"928,691 ",0.7 ,1.79 ,9.97 ,-0.35 ,8.2 ,"44,200.00 ","40,300.00 ","5,000 ","213,500,000 ",KRW,SELL,1.0 ,40150,43250,40150,40800,4.7%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,1 ,32300,39200,32300 ,-13.2%,IN,058610 KS Equity,2023-11-10,SPG CO LTD,Electrical Components,Electrical Equipment,"2,264,904 ",37200.00 ,1 ,843 ,"2,264,704 ",1.0 ,0.54 ,22.85 ,-1.46 ,4.5 ,"40,600.00 ","32,800.00 ","5,500 ","204,600,000 ",KRW,SELL,1.0 ,32300,39200,32300,37200,0.0%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,1 ,29300,31300,29300 ,-13.8%,IN,009520 KS Equity,2023-10-24,POSCO M-TECH CO LTD,Containers & Packaging,Containers & Packaging,"6,199,475 ",34000.00 ,1 ,"2,108 ","7,637,984 ",1.2 ,8.97 ,7.75 ,-5.29 ,6.1 ,"31,500.00 ","28,550.00 ","6,000 ","204,000,000 ",KRW,SELL,1.0 ,29300,29300,31300,34000,0.0%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,1 ,167000,176900,167000 ,-25.3%,IN,328130 KS Equity,2023-11-13,LUNIT INC,Health Care Software,Software,"745,330 ",223500.00 ,1 ,"1,666 ","1,815,545 ",2.4 ,25.70 ,31.86 ,-2.83 ,6.3 ,"181,500.00 ","169,100.00 ","1,000 ","223,500,000 ",KRW,SELL,1.0 ,167000,167000,176900,212500,5.2%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,1 ,21100,29600,21100 ,-28.4%,IN,067310 KS Equity,2023-11-14,HANA MICRON INC,Assembly & Testing Services,Semiconductors,"2,583,291 ",29450.00 ,-1 ,761 ,"13,925,854 ",5.4 ,-0.17 ,49.42 ,-7.10 ,6.0 ,"30,400.00 ","28,100.00 ","7,000 ","206,150,000 ",KRW,SELL,1.0 ,21100,29600,21100,28950,1.7%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,4.51 ,,,,,,," 1,910,090,000 ",,,,,,,," 76,150,000 ",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,TWSE Index,,TAIWAN TAIEX INDEX,,,"3,548,931,635 ",16758.41 ,,,#N/A N/A,,-0.19 ,0.83 ,-0.16 ,0.8 ,"16,789.69 ","16,648.51 ",,0 ,TWD,,41.5 ,#N/A,#N/A,#N/A,,,0,TWAP,,TWAP,,,
,,1 ,335,348,335 ,-4.7%,IN,3035 TT Equity,2023-10-25,FARADAY TECHNOLOGY CORP,Analog ICs,Semiconductors,"16,453,110 ",351.50 ,1 ,"2,401 ","13,846,339 ",0.8 ,1.88 ,4.62 ,-0.85 ,5.0 ,345.00 ,336.00 ,"15,000 ","218,923,163 ",TWD,SELL,41.5 ,335,335,348,347,1.3%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,,#N/A,#N/A,469 ,0.1%,IN,2345 TT Equity,2023-11-10,ACCTON TECHNOLOGY CORP,Wireline Data Network Equip,Technology Hardware,"4,095,643 ",468.00 ,#N/A,802 ,"2,185,153 ",0.5 ,0.32 ,-0.32 ,-1.98 ,4.1 ,478.00 ,463.50 ,"13,000 ","252,618,023 ",TWD,SELL,41.5 ,#N/A,#N/A,#N/A,398.5,17.4%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,,#N/A,#N/A,37 ,-1.3%,IN,2353 TT Equity,2023-11-03,ACER INC,Personal Computers,Technology Hardware,"26,114,750 ",37.80 ,#N/A,410 ,"16,526,859 ",0.6 ,0.93 ,4.70 ,-1.69 ,2.1 ,37.50 ,36.30 ,"130,000 ","204,037,634 ",TWD,SELL,41.5 ,#N/A,#N/A,#N/A,38.35,-1.4%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,1 ,201,215.5,201 ,-3.6%,IN,2368 TT Equity,2023-11-10,GOLD CIRCUIT ELECTRONICS LTD,PCBs,Technology Hardware,"14,944,560 ",208.50 ,1 ,"1,294 ","7,627,152 ",0.5 ,1.21 ,4.23 ,-1.18 ,4.2 ,207.00 ,201.00 ,"25,000 ","216,431,861 ",TWD,SELL,41.5 ,201,201,215.5,192.5,8.3%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,,#N/A,#N/A,#N/A,#N/A,IN,2324 TT Equity,2023-11-13,COMPAL ELECTRONICS,EMS/ODM,Technology Hardware,"38,354,020 ",34.00 ,#N/A,506 ,"19,535,744 ",0.5 ,-0.31 ,-4.80 ,-1.85 ,3.1 ,31.85 ,31.40 ,"130,000 ","183,525,914 ",TWD,SELL,41.5 ,#N/A,#N/A,#N/A,37.45,-9.2%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,1 ,128.5,134.5,129 ,-2.3%,IN,6285 TT Equity,2023-11-02,WISTRON NEWEB CORP,EMS/ODM,Technology Hardware,"13,619,990 ",131.50 ,1 ,744 ,"5,773,771 ",0.4 ,1.15 ,0.77 ,-1.50 ,2.8 ,131.00 ,128.00 ,"40,000 ","218,404,142 ",TWD,SELL,41.5 ,128.5,134.5,128.5,124,6.0%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,,#N/A,#N/A,317 ,-3.4%,IN,6531 TT Equity,2023-10-30,AP MEMORY TECHNOLOGY CORP,Memory ICs,Semiconductors,"6,866,871 ",328.00 ,#N/A,"1,018 ","16,242,633 ",2.4 ,1.13 ,11.35 ,-5.31 ,4.4 ,353.00 ,340.00 ,"15,000 ","204,286,764 ",TWD,SELL,41.5 ,#N/A,#N/A,#N/A,332.5,-1.4%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,1 ,156.5,161,157 ,-5.4%,IN,4979 TT Equity,2023-11-03,LUXNET CORP,App Specific Communication,Semiconductors,"16,344,600 ",165.50 ,1 ,"1,123 ","481,898 ",0.0 ,-1.49 ,3.44 ,-1.49 ,6.4 ,168.00 ,159.50 ,"30,000 ","206,155,241 ",TWD,SELL,41.5 ,156.5,156.5,161,166.5,-0.6%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,,#N/A,#N/A,341 ,7.9%,IN,2376 TT Equity,2023-11-13,GIGABYTE TECHNOLOGY CO LTD,PCBs,Technology Hardware,"21,530,680 ",316.00 ,#N/A,"2,758 ","21,373,883 ",1.0 ,-2.37 ,-13.56 ,-4.04 ,5.1 ,329.00 ,314.00 ,"15,000 ","196,812,858 ",TWD,SELL,41.5 ,#N/A,#N/A,#N/A,334,-5.4%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,,#N/A,#N/A,878 ,-5.4%,IN,6643 TT Equity,2023-11-03,M31 TECHNOLOGY CORP,Intellectual Property - Semi,Semiconductors,"2,001,713 ",928.00 ,#N/A,752 ,"335,801 ",0.2 ,-1.09 ,-1.63 ,-1.31 ,3.8 ,916.00 ,892.00 ,"5,000 ","192,660,688 ",TWD,SELL,41.5 ,#N/A,#N/A,#N/A,941,-1.4%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,1 ,2435,2580,2435 ,-2.0%,IN,3661 TT Equity,2023-11-06,ALCHIP TECHNOLOGIES LTD,Analog ICs,Semiconductors,"4,039,633 ",2485.00 ,1 ,"4,168 ","456,615 ",0.1 ,0.20 ,0.00 ,-1.58 ,4.7 ,"2,530.00 ","2,430.00 ","2,000 ","206,362,849 ",TWD,SELL,41.5 ,2435,2435,2580,2395,3.8%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,,#N/A,61.7,55 ,-10.7%,IN,2634 TT Equity,2023-11-07,AEROSPACE INDUSTRIAL DEVELOP,Defense,Aerospace & Defense,"34,251,920 ",61.00 ,1 ,853 ,"15,507,605 ",0.5 ,-2.12 ,-2.28 ,-2.28 ,2.2 ,63.10 ,61.30 ,"80,000 ","202,625,896 ",TWD,SELL,41.5 ,#N/A,#N/A,#N/A,59,3.4%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,,#N/A,#N/A,254 ,2.2%,IN,2382 TT Equity,2023-11-13,QUANTA COMPUTER INC,EMS/ODM,Technology Hardware,"56,510,720 ",248.50 ,#N/A,"5,655 ","17,829,098 ",0.3 ,-2.03 ,-1.23 ,-2.03 ,5.5 ,246.00 ,238.00 ,"18,000 ","185,726,564 ",TWD,SELL,41.5 ,#N/A,#N/A,#N/A,272.5,-8.8%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,1 ,182,186,182 ,-1.9%,IN,3037 TT Equity,2023-10-25,UNIMICRON TECHNOLOGY CORP,PCBs,Technology Hardware,"28,379,470 ",185.50 ,-1 ,"2,186 ","6,658,669 ",0.2 ,0.27 ,0.82 ,-0.54 ,2.8 ,185.00 ,181.00 ,"27,000 ","207,961,434 ",TWD,SELL,41.5 ,182,182,186,180.5,2.8%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,,#N/A,#N/A,333 ,2.3%,IN,3017 TT Equity,2023-11-13,ASIA VITAL COMPONENTS,Keyboards & Mice,Technology Hardware,"15,824,790 ",325.50 ,#N/A,"2,152 ","4,114,785 ",0.3 ,-0.30 ,-2.39 ,-1.50 ,4.5 ,332.00 ,325.00 ,"13,000 ","175,699,074 ",TWD,SELL,41.5 ,#N/A,#N/A,#N/A,379.5,-14.2%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,,#N/A,#N/A,#N/A,#N/A,IN,2449 TT Equity,2023-11-08,KING YUAN ELECTRONICS CO LTD,Semiconductor Mfg,Semiconductors,"16,469,160 ",79.10 ,,532 ,"11,229,765 ",0.7 ,-0.13 ,3.60 ,-0.77 ,3.5 ,77.90 ,75.30 ,"56,000 ","183,924,522 ",TWD,SELL,41.5 ,#N/A,#N/A,#N/A,82.2,-3.8%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,,116.5,120,117 ,0.4%,IN,3711 TT Equity,2023-10-27,ASE TECHNOLOGY HOLDING CO LT,Assembly & Testing Services,Semiconductors,"16,418,920 ",116.00 ,1 ,801 ,"6,154,367 ",0.4 ,-0.42 ,0.00 ,-0.42 ,1.8 ,118.50 ,116.00 ,"40,000 ","192,660,688 ",TWD,SELL,41.5 ,116.5,120,116.5,117.5,-1.3%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,,289.5,314,290 ,0.5%,IN,1519 TT Equity,2023-11-09,FORTUNE ELECTRIC CO LTD,Electronic Coil,Electrical Equipment,"16,335,270 ",288.00 ,1 ,"1,950 ","6,289,174 ",0.4 ,-4.17 ,-0.35 ,-4.01 ,5.3 ,311.00 ,294.50 ,"15,000 ","179,373,744 ",TWD,SELL,41.5 ,289.5,314,289.5,311,-7.4%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,1 ,485,508,485 ,-4.3%,IN,2327 TT Equity,2023-11-10,YAGEO CORPORATION,Passive Components,Technology Hardware,"2,593,474 ",507.00 ,1 ,546 ,"1,845,275 ",0.7 ,1.91 ,5.64 ,0.00 ,1.5 ,507.00 ,497.00 ,"10,000 ","210,515,019 ",TWD,SELL,41.5 ,485,508,485,501,1.2%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,1 ,278.5,288.5,279 ,-12.8%,IN,3324 TT Equity,2023-11-06,AURAS TECHNOLOGY CO LTD,Personal Computers,Technology Hardware,"7,461,099 ",319.50 ,1 ,990 ,"10,290,651 ",1.4 ,4.41 ,12.11 ,-0.78 ,4.5 ,306.00 ,287.00 ,"17,000 ","225,525,114 ",TWD,SELL,41.5 ,278.5,278.5,288.5,298.5,7.0%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,1 ,83.4,87.8,83 ,-1.7%,IN,2201 TT Equity,2023-11-13,YULON MOTOR COMPANY,Automobiles,Automotive,"14,074,160 ",84.80 ,1 ,496 ,"11,873,283 ",0.8 ,-1.05 ,6.27 ,-1.97 ,2.3 ,88.70 ,85.10 ,"60,000 ","211,262,410 ",TWD,SELL,41.5 ,83.4,87.8,83.4,87.4,-3.0%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,1 ,485,508,485 ,-4.3%,IN,2327 TT Equity,2023-11-10,YAGEO CORPORATION,Passive Components,Technology Hardware,"2,593,474 ",507.00 ,1 ,546 ,"1,845,275 ",0.7 ,1.91 ,5.64 ,0.00 ,1.5 ,507.00 ,497.00 ,"10,000 ","210,515,019 ",TWD,SELL,41.5 ,485,508,485,504,0.6%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,   ,,,,,,,,,,,,,,,,
,,,,,,,,,,,, ,,,,,,,1.08 ,,,,,,," 2,132,056,252 ",,,,,,,,"-9,471,100 ",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.0%,,,,,,,,,,,,,5.4,,,,,,," 9,730,587,414 ",,,,0,0,0,," 261,444,279 ",,,,  , ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,065350 KS Equity,2023-11-14,SHINSUNG DELTA TECH CO LTD,Household Appliances,Home & Office Products,"2,986,642 ",56100.00 ,,"1,676 ","5,958,620 ",2.0 ,14.14 ,1.47 ,-4.75 ,16.0 ,"51,000.00 ","46,600.00 ",,,KRW,,1.0 ,,,,,,,,,,,,
,,,,,,,,047310 KS Equity,2023-11-13,POWER LOGICS CO LTD,Communication Equip Cmpnts,Technology Hardware,"4,034,423 ",10390.00 ,,419 ,"13,783,364 ",3.4 ,16.09 ,3.37 ,-4.59 ,17.8 ,"9,290.00 ","8,870.00 ",,,KRW,,1.0 ,,,,HANG,0,,,,,,,
,,,,,,,,403870 KS Equity,2023-11-14,HPSP CO LTD,Semiconductor Devices,Semiconductors,"2,132,292 ",35500.00 ,,757 ,"4,800,982 ",2.3 ,-2.47 ,11.62 ,-10.01 ,4.1 ,"37,600.00 ","34,950.00 ",,,KRW,,1.0 ,,,,WPBS,0,,,,,,,
,,,,,,,,024880 KS Equity,2023-11-13,KOREA PARTS & FASTENERS CO L,Bolts & Washers,Industrial Intermediate Prod,"598,400 ",5780.00 ,,35 ,"245,869 ",0.4 ,0.00 ,5.33 ,-0.69 ,3.2 ,"5,950.00 ","5,520.00 ",,,KRW,,1.0 ,,,,,,,,,,,,
,,,,,,,,065440 KS Equity,2023-11-13,ELUON CORP,Computer & Software Whslrs,Wholesale - Discretionary,"862,127 ",2280.00 ,,20 ,"3,141,921 ",3.6 ,8.06 ,4.36 ,-3.39 ,2.7 ,"2,150.00 ","2,110.00 ",,,KRW,,1.0 ,,,,,,,,,,,,
,,,,,,,,012340 KS Equity,2023-11-14,NUINTEK CO LTD,Passive Components,Technology Hardware,"607,621 ",1382.00 ,,8 ,"270,089 ",0.4 ,-1.64 ,-15.70 ,-3.02 ,4.4 ,"1,476.00 ","1,403.00 ",,,KRW,,1.0 ,,,,,,,,,,,,
